Year,Donations,Attendance,Suiters,Charity,Theme
2009,2700,542,92,Center for Animal Research and Education,Beginnings
2010,3600,780,145,Center for Animal Research and Education,Space Cowboys
2011,4100,1034,,Center for Animal Research and Education,Disco Infurno
2012,9067,1220,,Center for Animal Research and Education,Beyond Thunderdome
2013,11750,1492,,Center for Animal Research and Education,The Time Traveler's Ball
2014,18532,1884,,Center for Animal Research and Education,Heroes & Villains
2015,16450,2425,,Center for Animal Research and Education,Out of the Inkwell: Toon City
2016,17970.91,2820,,Center for Animal Research and Education,Nights on the Bayou
2017,25183.30,3325,,Center for Animal Research and Education,Mad Science
2018,24000,3866,,Center for Animal Research and Education,Lone Star Wonderland
2019,29429.02,4844,710,Center for Animal Research and Education,Roll Fur Initiative
2020,35608,5296,1031,Center for Animal Research and Education,Kaiju Attack!